author,cat_earliest,cat_latest
 Andreas Klümper,cond-mat.stat-mech,cond-mat.str-el
 Andreas Mueller,astro-ph,gr-qc
 Andreas Schadschneider,physics.bio-ph,physics.soc-ph
 Andreas Schafer,hep-ph,hep-lat
 Andreas Schälicke,hep-ex,physics.ins-det
 Andreas Thom,math.FA,math.DS
 Andreas Tünnermann,gr-qc,cond-mat.other
 Andreas Witzel,cs.DC,cs.GT
 Andrei Gabrielov,nlin.AO,math.AG
 Andrei I. Maimistov,nlin.PS,physics.optics
 Andrei Khrennikov,physics.gen-ph,q-fin.ST
 Andrei Teleman,math.DG,math.GT
 Andrej Gendiar,cond-mat.mes-hall,cond-mat.stat-mech
 Andrew D. Greentree,cond-mat.mes-hall,quant-ph
 Andrew Haas,math.NT,math.GT
 Andrew Hamilton,hep-ph,hep-ex
 Andrew J. Millis,cond-mat.mtrl-sci,cond-mat.mes-hall
 Andrew Mathas,math.CO,math.RT
 Andrew McGregor,cs.DS,cs.IT
 Andrew N. Norris,cond-mat.mtrl-sci,math.SP
 Andrew Neate,math.PR,quant-ph
 Andrew R. Linshaw,math.RT,math.DG
 Andrew Stacey,math.AT,math.DG
 Andrew Waldron,math.DG,hep-th
 Andrey E. Miroshnichenko,cond-mat.other,cond-mat.soft
 Andrzej Rostworowski,gr-qc,math-ph
 Andrzej Sitarz,math.QA,math.RA
 André LeClair,cond-mat.mes-hall,hep-th
 Andrés Navas,math.DS,math.GR
 Aner Shalev,math.GR,math.PR
 Angel Rubio,cond-mat.mtrl-sci,cond-mat.mes-hall
 Angelo Vulpiani,cond-mat.stat-mech,nlin.CD
 Anil N. Hirani,math.NA,cs.CG
 Animesh Datta,quant-ph,cs.AR
 Anindya Das,cond-mat.mtrl-sci,cond-mat.mes-hall
 Anirban Banerjee,q-bio.QM,math.CO
 Anis Karimpour-Fard,stat.CO,math.ST
 Anjan Kundu,hep-th,nlin.SI
 Anna Felikson,math.CO,math.MG
 Anna Rybarska,hep-ph,nucl-th
 Anna Szczypinska,q-fin.TR,q-fin.PM
 Anne Broadbent,quant-ph,cs.CR
 Anne Schilling,math.QA,math.CO
 Anne-Christine Davis,hep-ph,hep-th
 Annekathrin Müller-Lohmann,math-ph,hep-th
 Anon Plangprasopchok,cs.IR,cs.AI
 Anosh Joseph,hep-lat,astro-ph
 Anthony Aguirre,hep-th,astro-ph
 Anthony Duncan,physics.hist-ph,cond-mat.stat-mech
 Anthony Ephremides,cs.IT,cs.NI
 Anthony F. J. van Raan,physics.data-an,physics.soc-ph
 Anthony M. Bloch,math.OC,astro-ph
 Anthony Reveillac,math.PR,cs.IT
 Anthony Vodacek,math.NA,physics.ao-ph
 Anthony W. Thomas,nucl-th,hep-ph
 Anton Kutsenko,math.SP,math-ph
 Anton Rebhan,hep-ph,hep-th
 Antoni Szczurek,hep-ph,nucl-th
 Antonino Messina,cond-mat.supr-con,quant-ph
 Antonio De Nicola,math.DG,math-ph
 Antonio Dobado,hep-ph,astro-ph
 Antonio Galves,math.PR,math.ST
 Antonio Gonzalez-Arroyo,hep-ph,hep-lat
 Antonio M. Garcia-Garcia,cond-mat.dis-nn,cond-mat.supr-con
