author,cat_earliest,cat_latest
  The Fermi LAT Collaboration,astro-ph.HE,astro-ph.IM
  The Fermi LAT collaboration,astro-ph.SR,astro-ph.HE
  The GEM Collaboration,hep-ex,nucl-ex
  The GERDA collaboration,physics.ins-det,nucl-ex
  The GlueX Collaboration,hep-ex,nucl-ex
  The HERMES collaboration,hep-ex,physics.atom-ph
  The HESS Collaboration,astro-ph,astro-ph.CO
  The IceCube Collaboration,astro-ph,astro-ph.HE
  The IceCube collaboration,hep-ex,astro-ph.CO
  The Jefferson Lab Hall A Collaboration,hep-ph,hep-ex
  The KM3NeT collaboration,astro-ph.IM,astro-ph.HE
  The KamLAND Collaboration,hep-ex,astro-ph.HE
  The LBNE Collaboration,hep-ex,physics.ins-det
  The LZ Collaboration,physics.ins-det,hep-ex
  The MAGIC Collaboration,astro-ph,astro-ph.HE
  The MAJORANA Collaboration,nucl-ex,physics.ins-det
  The Majorana Collaboration,hep-ex,physics.ins-det
  The NA49 Collaboration,nucl-ex,hep-ex
  The NEMO Collaboration,astro-ph,hep-ex
  The NEXT Collaboration,hep-ex,physics.ins-det
  The PANDA Collaboration,hep-ex,nucl-ex
  The PICASSO Collaboration,hep-ex,physics.ins-det
  The Planck Collaboration,astro-ph,astro-ph.CO
  The SLAC E154 Collaboration,hep-ph,hep-ex
  The SNO Collaboration,hep-ex,nucl-ex
  The STAR collaboration,nucl-ex,hep-ex
  The Simons Observatory Collaboration,astro-ph.CO,astro-ph.IM
  The XENON Collaboration,astro-ph.CO,nucl-ex
  Thompson,astro-ph,astro-ph.SR
  Tian,physics.optics,cs.CR
  Tong,cs.SI,cs.CV
  Triloki,cond-mat.mtrl-sci,physics.ins-det
  Triyanta,gr-qc,hep-th
  Tsai,cs.CV,eess.SP
  Tsang,math.NT,math.OC
  Tsukuba,hep-ex,physics.acc-ph
  Tushar,cs.LG,physics.ins-det
  UK,astro-ph,astro-ph.HE
  USA,hep-ex,astro-ph.EP
  Utkarsh,quant-ph,math.NA
  VERITAS Collaboration,astro-ph,astro-ph.HE
  Vasundhara,physics.ins-det,hep-ex
  Vedanshu,cs.LG,cs.CV
  Vikram,cond-mat.mtrl-sci,cs.LG
  Vinayak,cond-mat.dis-nn,cs.CG
  Vipul,cs.CV,cs.LG
  Virgo Collaboration,gr-qc,astro-ph.HE
  Vishakha,math.GR,math.PR
