author,first_year,last_year,active_span_years,paper_count
 J. Chen,2007,2025,18,328
 Wei Zhao,2007,2025,18,327
 T. Sato,2007,2025,18,326
 E. F. van Dishoeck,2007,2025,18,326
 J. Yang,2007,2025,18,326
 J. Frieman,2007,2025,18,326
 J. Huang,2007,2025,18,326
 Yan Chen,2007,2025,18,324
 Mihaela van der Schaar,2007,2025,18,324
 J. Jalocha,2007,2025,18,324
 Terence Tao,2007,2025,18,323
 Ping Wang,2007,2025,18,323
 Steve B. Howell,2007,2025,18,323
 H. Q. Zhang,2007,2025,18,322
 Shin'ichi Nojiri,2007,2025,18,322
 Q. Xu,2007,2025,18,322
 Chuan-Feng Li,2007,2025,18,322
 Roberto Maiolino,2007,2025,18,322
 Daniel J. Eisenstein,2007,2025,18,322
 T. Schmidt,2007,2025,18,322
 X. D. Zhang,2007,2025,18,322
 Y. Sato,2007,2025,18,320
 Stephen R. Kane,2007,2025,18,320
 O. Lahav,2007,2025,18,319
 Kun Yang,2007,2025,18,319
 Jin Zhang,2007,2025,18,319
 M. Kowalski,2007,2025,18,319
 Naoto Nagaosa,2007,2025,18,318
 Ian Smail,2007,2025,18,318
 N. H. Brook,2007,2025,18,318
 T. Yoshida,2007,2025,18,318
 Keith A. Olive,2007,2025,18,317
